Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,market_cap
890181,Shree Ganesh Remedies Limited,SGRLPP,Shree Ganesh Remedies Ltd,Delisted,B ,10.0,IN9414Y01013, ,Equity,-,-,-,-,
890182,Hazoor Multi Projects Limited,HAZOORPP,Hazoor Multi Projects Ltd,Delisted,X ,10.0,IN9550F01013, ,Equity,-,-,-,-,
890183,Shukra Pharmaceuticals Limited,SHUKRAPP,Shukra Pharmaceuticals Ltd,Delisted,XT,10.0,IN9551C01034, ,Equity,-,-,-,-,
890184,SPARC ELECTREX LIMITED,SPARCPP,SPARC ELECTREX Ltd,Delisted,X ,10.0,IN9960B01013, ,Equity,-,-,-,-,
890185,KCD INDUSTRIES INDIA LIMITED,KCDPP,KCD INDUSTRIES INDIA Ltd,Delisted,XT,1.0,IN9185U01017, ,Equity,-,-,-,-,
890186,North Eastern Carrying Corporation Limited,NECCLTDPP,North Eastern Carrying Corporation Ltd,Delisted,B ,10.0,IN9553C01014, ,Equity,-,-,-,-,
890187,Cressanda Solutions Ltd.,CRESSANPP,Cressanda Solutions Ltd,Delisted,A ,1.0,IN9716D01023, ,Equity,-,-,-,-,
890188,Alan Scott Industries Ltd.,ALANPP,Alan Scott Industries Ltd,Delisted,XT,10.0,IN9273F01020, ,Equity,-,-,-,-,
890189,EIKO LIFESCIENCES LIMITED,EIKOPP,EIKO LIFESCIENCES Ltd,Delisted,X ,10.0,IN9666Q01014, ,Equity,-,-,-,-,
890190,Grasim Industries Ltd,GRASIMPP,Grasim Industries Ltd,Active,A ,2.0,IN9047A01011, ,Equity,-,-,-,-,
890191,La Tim Metal & Industries Limited,LATIMPP,La Tim Metal & Industries Ltd,Suspended,XT,1.0,IN9501N01010, ,Equity,-,-,-,-,
890068,Opto Circuits (India) Ltd.,OPTPP,OPTO CIR PP,Delisted,B ,10.0,IN9808B01014, ,Equity,-,-,-,-,
890069,Jyoti Structures Ltd.,JYOPP,JYOTI STR PP,Delisted,B ,10.0,IN9197A01014, ,Equity,-,-,-,-,
890070,USG Tech Solutions Ltd,VKSPP,USG Tech Solutions Ltd,Delisted,B ,10.0,IN9718B01015, ,Equity,-,-,-,-,
890071,Fourth Generation Information Systems Ltd,FOGPP,FOURTH GE PP,Delisted,B ,10.0,IN9739B01011, ,Equity,-,-,-,-,
890072,Saven Technologies Ltd.,SATPP,SAVEN TCH PP,Delisted,B ,10.0,IN9856B01013, ,Equity,-,-,-,-,
890073,CCS Infotech Ltd.,CCSPP,CCS INFO PP,Delisted,B ,10.0,IN9661B01017, ,Equity,-,-,-,-,
890074,IKF Technologies Ltd.,IKFPP,IKF SOFTW PP,Delisted,B ,10.0,IN9052C01017, ,Equity,-,-,-,-,
890075,e. Star Infotech Ltd.,ESTPP,e Star Infotech Ltd,Delisted,B ,10.0,IN9546B01010, ,Equity,-,-,-,-,
890076,Sequel Soft India Ltd.,SEQPP,Sequel Soft India Ltd,Delisted,B ,10.0,IN9793C01016, ,Equity,-,-,-,-,
890077,Mawana Sugars Ltd,SIELLPP,SIEL LTED PP,Delisted,B ,10.0,-, ,Equity,-,-,-,-,
890078,CESC Limited,CESPP,CESC LIMI PP,Delisted,B ,10.0,-, ,Equity,-,-,-,-,
890079,EMCO Ltd.,EMCPP,EMCO LIMI PP,Delisted,B ,10.0,IN9078A01024, ,Equity,-,-,-,-,
132522,PETRONET LNG LTD.,PETRONET#,PETRONET LNG,Active,A ,10.0,INE347G01014,LPG/CNG/PNG/LNG Supplier,Equity,-,"Oil, Gas & Consumable Fuels",-,-,
132541,COFORGE LIMITED,COFORGE#,COFORGE LIMITED,Active,A ,10.0,INE591G01017,Computers - Software & Consulting,Equity,-,Information Technology,-,-,
132652,Karnataka Bank Ltd.,KTKBANK#,Karnataka Bank Ltd.,Suspended,A ,10.0,INE614B01018,Private Sector Bank,Equity,-,Financial Services,-,-,
132977,Bajaj Auto Limited,BAJAJ-AUTO#,Bajaj Auto Limited,Active,A ,10.0,INE917I01010,2/3 Wheelers,Equity,-,Automobile and Auto Components,-,-,
